geo_id,name,,,
184,Kambioos Ref. Camp,,,
344,Kampala,,,
833,Kamwenge,,,
1660,Kandahar,,,
998,Kanem,,,
858,Kanembwa,,,
1430,Kangalam,,,
920,Kangeta (Rural Area),,,
1350,Kankan Region,,,
1614,Kano,,,
1636,Kaolack,,,
1661,Kapisa,,,
859,Karago,,,
57,Karak,,,
56,Karak Govenorate,,,
1431,Karam,,,
130,Karkamis,,,
1033,Karuzi,,,
1790,Kasai,,,
1791,Kasai Central,,,
1794,Kasai Oriental,,,
961,Kasai-Occidental,,,
962,Kasai-Oriental,,,
921,Kasaka (Rural Area),,,
827,Kassala,,,
1764,Kastellorizo,,,
850,Kasulu,,,
963,Katanga,,,
499,Katanga,,,
922,Katanga (Rural Area),,,
923,Katogota (Rural Area),,,
1615,Katsina,,,
924,Kavinvira,,,
1044,Kavumu,,,
17,Kawergosk Camp,,,
267,Kaya,,,
1695,Kayah State,,,
1034,Kayanza,,,
1433,Kayes,,,
1696,Kayin State,,,
659,Kazakhstan (country),,,
1616,Kebbi,,,
174,Kebribeyah Refugee Camp,,,
1637,Kédougou,,,
1121,Kela Sami,,,
970,Kémo,,,
375,Kentzou,,,
1181,Kentzou,,,
178,Kenya (country),,,
925,Kenya (Rural Area),,,
29,Kerbala,,,
419,Kerfi,,,
103,Kesrwane,,,
1182,Ketté,,,
1487,Kgalagadi District,,,
1488,Kgatleng District,,,
310,Khartoum,,,
311,Khartoum,,,
1292,Khenchela,,,
1572,Khoms,,,
1662,Khost,,,
1687,Khyber Pakhtunkhwa (province),,,
852,Kibondo,,,
860,Kibondo (way-station),,,
1441,Kidal,,,
1525,Kié-Ntem Province,,,
984,Kigali,,,
1021,Kigeme,,,
843,Kigoma,,,
853,Kigoma,,,
864,Kigoma (way-station/stadium),,,
854,Kilelema (way-station),,,
926,Kiliba (Rural Area),,,
125,Kilis,,,
126,Kilis, Oncupinar Container site,,
927,Kimuka (Rural Area),,,
1045,Kinama,,,
928,Kinanira (Rural Area),,,
1351,Kindia Region,,,
45,King Abdullah Park Refugee Camp,,,
501,Kinshasa,,,
502,Kinshasa,,,
661,Kiribati (country),,,
25,Kirkuk,,,
26,Kirkuk Non-Camp Refugees,,,
1035,Kirundo,,,
835,Kiryandongo,,,
340,Kiryandongo,,,
1890,Kismaayo,,,
1373,Kizamou (Ind. Reg.*),,,
1024,Kiziba,,,
164,Kobe Refugee Camp,,,
1073,Koboko,,,
816,Kodok,,,
1617,Kogi,,,
1638,Kolda,,,
466,Koldaga,,,
1448,Koloko Koulikoro,,,
1450,Koloko Segou,,,
430,Komba,,,
365,Kombo Laka,,,
1183,Komboul,,,
960,Kongo Central,,,
1754,Kos,,,
1317,Kossi/Autres Sites,,,
1184,Kouba,,,
427,Koubo,,,
1052,Kouilou,,,
1434,Koulikoro,,,
1122,Kounde,,,
1341,Koutougou,,,
1400,Koutougou (Ind. Reg.*),,,
929,Kringye (Rural Area),,,
1573,Kufra,,,
245,Kule,,,
1663,Kunar,,,
1664,Kunduz,,,
1477,Kuoffo,,,
824,Kurdufan,,,
1868,Kurtunwaarey,,,
664,Kuwait (country),,,
1784,Kwango,,,
1618,Kwara,,,
1185,Kwele,,,
1489,Kweneng District,,,
1783,Kwilu,,,
1075,Kyaka II,,,
837,Kyaka II,,,
930,kyamate (Rural Area),,,
342,Kyangwali,,,
836,Kyegegwa,,,
345,Kyegegwa,,,
660,Kyrgyzstan (country),,,
1837,Laas Caanood,,,
1843,Laasqoray,,,
1590,Laâyoune-Sakia El Hamra[A],,,
1352,Labé Region,,,
999,Lac,,,
532,Lacs,,,
1665,Laghman,,,
1255,Laghouat,,,
1619,Lagos,,,
528,Lagunes,,,
529,Lagunes,,,
1123,Lamou,,,
665,Lao People's Democratic Republic (country),,,
289,Lasu,,,
673,Latvia (country),,,
1727,Lazio,,,
71,Lebanon (country),,,
240,Leitchuor,,,
1054,Lékoumou,,,
268,Lelo,,,
1451,Léré,,,
1757,Leros,,,
668,Lesotho (country),,,
1753,Lesvos,,,
1805,Libenge,,,
535,Liberia (country),,,
380,Libongo,,,
1186,Libongo,,,
666,Libya (country),,,
669,Liechtenstein (country),,,
1728,Liguria,,,
477,Likouala,,,
671,Lithuania (country),,,
1526,Litoral Province,,,
562,Little Wlebo Ref. Camp,,,
390,Littoral,,,
1479,Littoral,,,
974,Lobaye,,,
1666,Logar,,,
1000,Logone Occidental,,,
421,Logone Oriental,,,
1247,Logone-et-Chari,,,
1124,Lokoti,,,
373,Lolo,,,
1187,Lolo,,,
1793,Lomami,,,
1729,Lombardy,,,
1639,Louga,,,
1061,Loukolela,,,
1820,Lower Juba,,,
1545,Lower River,,,
1823,Lower Shabelle,,,
1798,Lualaba,,,
1464,Luanda,,,
1079,Luapula,,,
931,Lubarika (Rural Area),,,
932,Luberizi (Rural Area),,,
1062,Lubero,,,
500,Lubumbashi,,,
1830,Lughaye,,,
848,Lukole A,,,
849,Lukole B,,,
1013,Lukolo (Rural Area),,,
847,Lumasi,,,
1465,Lunda Norte,,,
1466,Lunda Sul,,,
1080,Lusaka,,,
933,Lusenda,,,
1886,Luuq,,,
934,Luvungi (Rural Area),,,
672,Luxembourg (country),,,
1507,Luxor,,,
1280,M Sila,,,
384,M'Bile,,,
331,Maaji,,,
50,Maan,,,
49,Maan Governorate,,,
861,Mabamba (way-station),,,
674,Macau,,,
61,Madaba,,,
60,Madaba Governorate,,,
675,Madagascar (country),,,
52,Mafraq,,,
51,Mafraq Governorate,,,
1697,Magway Region,,,
1017,Mahama,,,
1782,Mai-Ndombe,,,
1667,Maidan Wardak,,,
475,Maigama,,,
454,Maindou I, Mbetikandja, Mainbere,
1401,Maine Soroa,,,
1749,Mainland Andalucia,,,
1752,Mainland Eastern Mediterranean,,,
1036,Makamba,,,
282,Makpandu,,,
262,Malakal,,,
1467,Malanje,,,
147,Malatya,,,
686,Malawi (country),,,
685,Malaysia (country),,,
681,Maldives (country),,,
684,Mali (country),,,
690,Malta (country),,,
983,Mambéré-Kadéï,,,
1353,Mamou Region,,,
1402,Mamouri,,,
1234,Man Regara,,,
1698,Mandalay Region,,,
1188,Mandjou,,,
409,Mandoul,,,
461,Mandoul,,,
1404,Mangaize (Camp) (Niger Nationals),,,
1403,Mangaize Refugee Camp,,,
965,Maniema,,,
855,Manyovu (way-station),,,
1730,Marche,,,
149,Mardin,,,
287,Maridi,,,
1574,Marj,,,
88,Marjaayoun,,,
1865,Marka,,,
413,Maro,,,
1591,Marrakesh-Safi,,,
683,Marshall Islands (country),,,
676,Martinique,,,
561,Maryland,,,
563,Maryland Communities,,,
1281,Mascara,,,
1063,Masisi,,,
1640,Matam,,,
243,Matar,,,
437,Matiti,,,
1508,Matruh,,,
677,Mauritania (country),,,
692,Mauritius (country),,,
1248,Mayo-Danay,,,
1249,Mayo-Kani,,,
1003,Mayo-Kebbi Est,,,
1004,Mayo-Kebbi Ouest,,,
1250,Mayo-Sava,,,
1251,Mayo-Tsanaga,,,
768,Mayotte,,,
1087,Mayukwayukwa,,,
393,Mbai-mboum,,,
1125,Mbale,,,
1126,Mbarang,,,
1405,Mbeidoun (Est.**),,,
1406,Mbeidoun (Est.**),,,
1369,Mbéra Refugee Camp,,,
1127,Mbewe,,,
1189,MBile,,,
1235,Mbodo,,,
935,Mboko (Rural Area),,,
1190,Mbomba,,,
1191,Mbombete,,,
968,Mbomou,,,
1128,Mbondo,,,
1192,Mbonga,,,
1193,Mborguene,,,
1066,Mboti (Outside of camp),,,
498,Mboti (Outside of camp),,,
1067,Mboti Refugee Camp,,,
497,Mboti Refugee Camp,,,
